Symptom,Disease,occurrence,Weightage
Asthenia,Gastroesophageal Reflux,1,2.063219251
Fever,Gastroesophageal Reflux,1,0.618937632
Body Weight,Gastroesophageal Reflux,39,13.37652604
Birth Weight,Gastroesophageal Reflux,3,4.221392829
Weight Gain,Gastroesophageal Reflux,25,37.16724352
Weight Loss,Gastroesophageal Reflux,32,32.00171876
Overweight,Gastroesophageal Reflux,12,9.886465195
Obesity,Gastroesophageal Reflux,120,99.9064382
"Obesity, Morbid",Gastroesophageal Reflux,44,77.1293579
Cyanosis,Gastroesophageal Reflux,5,8.717047938
Edema,Gastroesophageal Reflux,6,3.575268565
Fatigue,Gastroesophageal Reflux,2,2.276026311
Heart Murmurs,Gastroesophageal Reflux,1,2.363417131
Hypergammaglobulinemia,Gastroesophageal Reflux,1,1.679125164
Dystonia,Gastroesophageal Reflux,11,16.89719937
Torticollis,Gastroesophageal Reflux,26,56.02976399
Psychomotor Agitation,Gastroesophageal Reflux,1,2.24256018
"Akathisia, Drug-Induced",Gastroesophageal Reflux,2,6.221822899
Tremor,Gastroesophageal Reflux,2,3.478705574
Apraxias,Gastroesophageal Reflux,1,2.383774069
Language Development Disorders,Gastroesophageal Reflux,1,2.486567189
Speech Disorders,Gastroesophageal Reflux,1,1.152916561
Aphasia,Gastroesophageal Reflux,2,3.621323629
Dysarthria,Gastroesophageal Reflux,1,2.026585118
Learning Disorders,Gastroesophageal Reflux,1,1.735312377
Consciousness Disorders,Gastroesophageal Reflux,1,0.877129276
Unconsciousness,Gastroesophageal Reflux,1,0.927972829
Coma,Gastroesophageal Reflux,1,1.312084813
Syncope,Gastroesophageal Reflux,10,14.90891428
Mental Retardation,Gastroesophageal Reflux,40,36.21786736
Perceptual Disorders,Gastroesophageal Reflux,1,1.386057366
Psychomotor Disorders,Gastroesophageal Reflux,5,6.658204958
Muscle Hypertonia,Gastroesophageal Reflux,1,1.480420128
Muscle Spasticity,Gastroesophageal Reflux,1,1.727280206
Muscle Hypotonia,Gastroesophageal Reflux,3,4.969533404
Spasm,Gastroesophageal Reflux,9,12.30549724
Pain,Gastroesophageal Reflux,48,15.81056201
Low Back Pain,Gastroesophageal Reflux,2,3.180842046
Facial Pain,Gastroesophageal Reflux,1,1.972328592
Headache,Gastroesophageal Reflux,5,4.422821274
Neck Pain,Gastroesophageal Reflux,1,1.958792007
Neuralgia,Gastroesophageal Reflux,1,1.538314106
"Pain, Referred",Gastroesophageal Reflux,1,4.00354799
Paralysis,Gastroesophageal Reflux,3,1.453414132
Gastroparesis,Gastroesophageal Reflux,15,49.46246107
Hemiplegia,Gastroesophageal Reflux,1,1.294632363
Paraplegia,Gastroesophageal Reflux,3,3.832437851
Quadriplegia,Gastroesophageal Reflux,4,5.476558678
Vocal Cord Paralysis,Gastroesophageal Reflux,6,11.92667726
"Paraparesis, Spastic",Gastroesophageal Reflux,1,3.17120368
Psychophysiologic Disorders,Gastroesophageal Reflux,26,38.54514649
"Reflex, Abnormal",Gastroesophageal Reflux,3,4.221392829
Seizures,Gastroesophageal Reflux,6,5.071001553
Sensation Disorders,Gastroesophageal Reflux,7,2.40325333
Dizziness,Gastroesophageal Reflux,1,1.342471422
Hearing Disorders,Gastroesophageal Reflux,1,0.735016575
Hearing Loss,Gastroesophageal Reflux,1,0.803550545
"Hearing Loss, Sensorineural",Gastroesophageal Reflux,1,1.21485586
Olfaction Disorders,Gastroesophageal Reflux,1,2.288230217
Somatosensory Disorders,Gastroesophageal Reflux,2,2.09106214
Hyperalgesia,Gastroesophageal Reflux,7,16.75877054
Hypesthesia,Gastroesophageal Reflux,1,1.721961044
Sleep Disorders,Gastroesophageal Reflux,53,79.12894222
Sleep Deprivation,Gastroesophageal Reflux,2,5.151824578
Voice Disorders,Gastroesophageal Reflux,43,71.60552703
Dysphonia,Gastroesophageal Reflux,2,6.899027224
Hoarseness,Gastroesophageal Reflux,61,135.1837423
Abdominal Pain,Gastroesophageal Reflux,30,25.45451034
"Abdomen, Acute",Gastroesophageal Reflux,1,1.43760013
Colic,Gastroesophageal Reflux,11,23.48222048
Chest Pain,Gastroesophageal Reflux,226,248.5007477
Angina Pectoris,Gastroesophageal Reflux,27,39.22245106
"Angina, Unstable",Gastroesophageal Reflux,1,2.24256018
Earache,Gastroesophageal Reflux,2,5.635848649
"Pain, Postoperative",Gastroesophageal Reflux,2,3.355710645
Aerophagy,Gastroesophageal Reflux,10,40.70687293
Anorexia,Gastroesophageal Reflux,5,9.12630307
Constipation,Gastroesophageal Reflux,32,51.00529579
Diarrhea,Gastroesophageal Reflux,18,16.61738636
Dyspepsia,Gastroesophageal Reflux,217,451.8053273
Eructation,Gastroesophageal Reflux,31,123.3150723
Flatulence,Gastroesophageal Reflux,6,18.82720356
Gagging,Gastroesophageal Reflux,7,26.12563027
Halitosis,Gastroesophageal Reflux,3,9.724223815
Heartburn,Gastroesophageal Reflux,534,1696.448269
Hiccup,Gastroesophageal Reflux,18,53.16706558
